feature_name,coefficient,coef_lower_95%,coef_upper_95%,z-value,p-value,-log2(p),partial_AIC,C-index
DGCCA_1,0.15529724069588843,-3.258019063447087,3.5686135448388643,0.08917339371477122,0.9289441098614412,0.10633629575125235,2336.863647412801,0.5111369318712328
DGCCA_2,0.862645579674963,-2.878642245506909,4.603933404856836,0.451917721006513,0.6513282576446255,0.6185432760445303,2336.66731429052,0.525567739726738
DGCCA_3,1.1050414296526543,-2.358065434587744,4.568148293893053,0.6254041496403294,0.5317058393274842,0.911299784339198,2336.475599318014,0.5085744519716571
DGCCA_4,0.04231497080722425,-3.344772355463345,3.429402297077793,0.024485881466877243,0.9804650452971018,0.028461897285278988,2336.870983191658,0.47117469473291074
DGCCA_5,1.344439412850761,-2.189238581938441,4.878117407639963,0.7456969289418404,0.45585051476706706,1.1333672901484348,2336.31310579773,0.4944341276675208
DGCCA_6,2.6712583463102706,-0.731587008885056,6.074103701505598,1.5385859789886418,0.12390540365808107,3.0126889884361185,2334.4746628171815,0.49567905717338756
DGCCA_7,-0.9002195388383221,-4.270062713675783,2.469623635999139,-0.5235845654412302,0.6005675190207861,0.7356016443259659,2336.5983475239263,0.5331099376497805
DGCCA_8,1.341583153142999,-1.9340705387039614,4.617236844989959,0.8027266951236709,0.42213271983481404,1.2442314368451615,2336.228681740681,0.4883962195640672
DGCCA_9,1.6652098417373586,-1.503783093912405,4.834202777387122,1.029901733068292,0.3030561371139868,1.7223430363889614,2335.8104319241997,0.5327675820356672
DGCCA_10,0.34377443512722755,-3.126366198075125,3.81391506832958,0.19416662979251573,0.8460454111588593,0.2411929933678767,2336.833867335606,0.5209200029048355
DGCCA_11,-3.501485616617623,-7.058792938337608,0.055821705102362174,-1.9292079880344313,0.0537050469083529,4.218798518556208,2333.2124476482663,0.5180670394538909
DGCCA_12,-2.4304170687491187,-6.101668541341645,1.240834403843408,-1.297522100493928,0.1944516059301234,2.3625169451866848,2335.179227875107,0.5138135303088462
DGCCA_13,1.4787634244922292,-1.892352278977432,4.8498791279618905,0.859751877005241,0.3899258315458999,1.3587283622889772,2336.1253522129336,0.5452791235696278
DGCCA_14,1.9689864783542117,-1.4016672930027025,5.339640249711126,1.1449240549162205,0.25224061842103807,1.9871274826781873,2335.565008322365,0.529499642082767
DGCCA_15,-2.45970346012282,-5.738775837734664,0.8193689174890237,-1.470211584045722,0.1415044582918908,2.8210805870296616,2334.6887305422842,0.5238455872436223
DGCCA_16,-0.3055352302508792,-3.9351751964095443,3.324104735907786,-0.16498552277449177,0.8689553770497375,0.20264600180855016,2336.8443583101853,0.5093317840877261
DGCCA_17,2.6099382960499167,-0.7425191358099075,5.96239572790974,1.5258613020753078,0.12704440990995286,2.976595198225857,2334.5574530053996,0.519187476009171
DGCCA_18,0.42776731045034244,-3.0599936985572134,3.9155283194578985,0.24038588655614482,0.8100311183826262,0.30395076284818945,2336.813754414308,0.4938739093898808
DGCCA_19,0.3890804788756988,-2.8147994681980912,3.592960425949489,0.23801882039321104,0.8118664970650777,0.3006855840497492,2336.815026301193,0.49157078980402735
DGCCA_20,0.37884584831993906,-3.15680801190112,3.9144997085409985,0.21001043873485398,0.8336595257810676,0.262469800856448,2336.827669810324,0.49811704412237656
DGCCA_21,2.1091524707425795,-1.4330335207366862,5.651338462221846,1.1670372167083094,0.2431953402633848,2.039812508553685,2335.50835271007,0.491321803902854
DGCCA_22,-1.6929198107818682,-5.088657418606027,1.7028177970422904,-0.9771255147045637,0.32850701759624334,1.6060039050302874,2335.916975197108,0.49315807492400743
DGCCA_23,-0.5404962375368424,-4.044935538095272,2.9639430630215875,-0.30228891657013723,0.7624318266708816,0.3913197510567667,2336.780165347058,0.5211897376311067
DGCCA_24,0.2207841702148581,-3.120179077015202,3.5617474174449186,0.1295222335464036,0.8969444333025189,0.15690948352434544,2336.8548422664894,0.4911454388895229
DGCCA_25,1.2695387075413964,-2.0933456704412885,4.632423085524081,0.7399154606835778,0.45935129257940654,1.1223302065641212,2336.3297939059407,0.49824153707296326
DGCCA_26,1.8966501922968042,-1.300495316590424,5.093795701184033,1.1627140703603882,0.2449455309596603,2.0294671250512577,2335.54745683074,0.5176105653017398
DGCCA_27,0.5827030769318994,-2.628123904054288,3.793530057918087,0.35569560466207767,0.7220685370237294,0.4697923141025198,2336.7454866057747,0.5114377898351505
DGCCA_28,-3.700633478657607,-7.176046644731614,-0.2252203125836001,-2.086977286313714,0.036890187779303044,4.760619057083012,2332.629855073819,0.5328609517486073
DGCCA_29,-2.77546784252654,-5.962645518619292,0.4117098335662117,-1.7067818504144159,0.08786260708156221,3.508606881695764,2334.102403988272,0.5445425402786567
DGCCA_30,-1.0232452006906456,-4.594668919608669,2.548178518227377,-0.56154741037412,0.574424419715263,0.7998110131127965,2336.555062939261,0.5180877882789887
DGCCA_31,-1.9531551516843133,-4.971492494227866,1.0651821908592396,-1.2682855887454147,0.20469598160964983,2.2884453138193157,2335.2992056877238,0.5151103318774575
DGCCA_32,0.9660686097693282,-2.422856290757433,4.354993510296089,0.5587198705548923,0.5763529160207246,0.794975612598059,2336.559326131328,0.4955130665726053
DGCCA_33,3.044516825131554,-0.4073845222730603,6.496418172536169,1.7286540741005243,0.08387102551673613,3.5756836933281146,2333.8357001115564,0.5065410671120748
DGCCA_34,0.3070789689611987,-3.1734572013708537,3.787615139293251,0.1729227021698278,0.8627121867136124,0.2130487591866211,2336.8417074300546,0.5173304561629197
DGCCA_35,-0.9752620139867362,-4.4301618868216694,2.479637858848197,-0.5532659391762719,0.5800813206859254,0.785672931325769,2336.5655663522343,0.49873950887530993
DGCCA_36,-0.12406286582316337,-3.6442070571124723,3.3960813254661457,-0.06907636040419259,0.9449288377372439,0.08172241032542886,2336.8668266562195,0.5335560373893828
DGCCA_37,-1.7357293298145213,-5.067575603712337,1.5961169440832943,-1.0210455986513625,0.3072328354791322,1.7025956826974258,2335.83583161787,0.5014679793756679
DGCCA_38,1.2614016311247378,-2.1421499663037196,4.664953228553196,0.7263888018952039,0.46760045409694373,1.096651763984665,2336.3439725895,0.5126412216908217
DGCCA_39,-2.910433767598598,-5.859719894878101,0.03885235968090539,-1.9341444396052216,0.05309537133439461,4.235270092285366,2333.2286932953643,0.5258063512153625
