sample,DGCCA_16,DGCCA_28,DGCCA_31,DGCCA_38,DGCCA_71,DGCCA_82,DGCCA_88
TCGA-A2-A0D4-01,0.038952306,0.021152783,-0.006312285,0.034536958,0.010319324,0.014683958,-0.05128441
TCGA-A2-A0EM-01,-0.0002607489,-0.005201213,-0.0051730406,-0.002083214,-0.028779572,-0.012503317,-0.017061824
TCGA-A2-A0EN-01,0.034187537,-0.017800255,-0.0018012719,0.007651758,-0.011805958,0.004449851,-0.008206004
TCGA-A2-A0EO-01,-0.08100762,-0.020448025,0.024601959,-0.03256284,-0.013419004,-0.0031657368,-0.03335391
TCGA-A2-A0EP-01,-0.0010100305,-0.033018187,0.028054664,-0.011166759,-0.016388351,-0.02049685,-0.013855476
TCGA-A2-A0EQ-01,-0.031922407,-0.011279469,0.010951584,-0.009222403,0.01422104,0.064208746,-0.002331038
TCGA-A2-A0ER-01,-0.009299339,0.03591759,0.036014337,0.01607899,-0.0046974085,0.040461093,0.031098269
TCGA-A2-A0ES-01,0.010178182,-0.011793441,-0.011789821,0.01935466,-0.022343101,0.010579113,-0.0029093046
TCGA-A2-A0ET-01,-0.014770331,0.013675702,0.011594855,0.019927954,-0.0050002933,-0.022709105,0.039225724
TCGA-A2-A0EU-01,0.06977944,0.025491517,0.0207367,-0.0056547318,0.030068843,-0.013604468,-0.002653013
TCGA-A2-A0EV-01,0.0007024994,-0.006416058,0.026572663,-0.004326446,-0.003597633,0.023469115,0.02984753
TCGA-A2-A0EW-01,-0.00036303606,0.008585313,0.016854564,0.011169324,-0.04894575,-0.032319568,-0.023687022
TCGA-A2-A0EX-01,0.03153763,0.021126546,-0.03710017,-0.0016039928,-0.0202808,0.0077538714,-0.023188688
TCGA-A2-A0EY-01,0.02076558,0.004709907,-0.027111605,-0.01579909,-0.00034774718,-0.015504936,-0.006908481
TCGA-A2-A0ST-01,-0.06375387,-0.010904857,0.08389001,-0.04835911,0.011231171,-0.029117364,-0.054978408
