feature_name,coefficient,coef_lower_95%,coef_upper_95%,z-value,p-value,-log2(p),partial_AIC,C-index
DGCCA_1,2.342754002870164,-1.3806097426049373,6.066117748345265,1.2332164634311509,0.21749501462768964,2.20094576268158,2335.346245385272,0.5202767893268043
DGCCA_2,2.9929678026056825,-0.8993594582319453,6.88529506344331,1.5070955515525533,0.1317861668793039,2.923729151111941,2334.615299299609,0.5239597057816601
DGCCA_3,0.4135963003804111,-3.2999164591280863,4.127109059888909,0.21829300325116083,0.8272008256147252,0.2736904693050234,2336.823910902161,0.5556535361185173
DGCCA_4,0.3986037307129439,-3.3844181700632188,4.181625631489107,0.20651452113993402,0.8363890229805184,0.25775396719646837,2336.8289352092625,0.4905125997240406
DGCCA_5,1.890721791515342,-1.8268483091965877,5.608291892227272,0.9968195664811953,0.31885209903639955,1.6490407162476226,2335.8887014308784,0.5186583809691776
DGCCA_6,-1.4167330621977567,-5.3088476361227634,2.4753815117272504,-0.7134285810128491,0.4755805924440569,1.0722382522932896,2336.3651388420244,0.5115415339606395
DGCCA_7,0.37136089797333655,-3.248248085005429,3.9909698809521026,0.20108635731564684,0.8406310493990832,0.2504553502856466,2336.831157151974,0.5104729694681038
DGCCA_8,-1.2662867519483691,-5.045534103215573,2.512960599318835,-0.6567118257255167,0.5113662290791312,0.9675712075749385,2336.4404307428135,0.49398802792791857
DGCCA_9,1.6544266829402943,-2.134626173470897,5.443479539351485,0.8557855581609106,0.39211640488671395,1.3506460940590754,2336.1383160124597,0.5157327966303908
DGCCA_10,0.06834035502183622,-3.342476300543062,3.479157010586735,0.03927054663432097,0.968674688876013,0.045915849828464576,2336.870021575477,0.49256673340872076
DGCCA_11,0.3743239982946093,-3.2110974870288027,3.959745483618021,0.20462351726558284,0.837866280043409,0.2552080806904272,2336.8297097815803,0.526314697430258
DGCCA_12,-0.7648031634465002,-4.245273472325119,2.7156671454321177,-0.4306850863785714,0.6666973641598679,0.584896071568737,2336.6874484449577,0.5338361465282029
DGCCA_13,-0.9089061366010416,-4.652840164853877,2.8350278916517935,-0.4758158876791996,0.6342055500384489,0.6569775921256613,2336.6448137744615,0.5047981658038614
DGCCA_14,-2.0758890894891002,-5.739136616918744,1.5873584379405439,-1.1106723804037082,0.2667093949113168,1.9066594497763936,2335.653174066753,0.5636937058439065
DGCCA_15,1.033701306742982,-3.0561034820801707,5.1235060955661345,0.4953824049316607,0.6203302124018868,0.6888917036212124,2336.6265834113733,0.49497359712006306
DGCCA_16,4.819160214940117,1.125527529542366,8.51279290033787,2.5572062144543763,0.010551664524908445,6.566385587770194,2330.494724853168,0.5476652384558724
DGCCA_17,-0.19912312583348984,-3.968597738022948,3.570351486355968,-0.10353542476732344,0.9175380356574828,0.12416013015544626,2336.860876090281,0.5072257783403015
DGCCA_18,0.3711066779849761,-3.468560110689804,4.210773466659757,0.189431990666017,0.8497542534227518,0.23488241672994392,2336.8356590792732,0.49580355012397426
DGCCA_19,-0.31425428045629444,-3.8214541463662144,3.192945585453625,-0.17561789895942767,0.8605941395667819,0.21659507896405933,2336.84062957852,0.45941011090247014
DGCCA_20,-0.8707300231176841,-4.210059053028144,2.468599006792776,-0.5110605963899729,0.6093086262501136,0.7147549295195603,2336.610292661942,0.5284518264153293
DGCCA_21,3.509638550326178,-0.17328015369346206,7.192557254345818,1.867748302422478,0.0617971624663405,4.016315594197216,2333.422875631244,0.5244058055212624
DGCCA_22,-2.2656575344792973,-5.871400920527617,1.3400858515690226,-1.231537215339076,0.21812200662629028,2.1967927620982017,2335.3599358344422,0.5099231256030128
DGCCA_23,-0.3952580248370659,-3.745649529846146,2.955133480172014,-0.23122416951059807,0.8171406541611312,0.2913436645024826,2336.818114418593,0.5074125177661815
DGCCA_24,3.7237086744152608,-0.008822949996264207,7.456240298826786,1.9553310260094476,0.05054401141904738,4.306316021639481,2333.025435941167,0.5168532331856709
DGCCA_25,-1.3264443135149253,-4.944176942588602,2.2912883155587522,-0.7186222279375261,0.47237371391516003,1.0819994092788052,2336.3576553391717,0.5144774927119752
DGCCA_26,0.7469763491983616,-2.604581271390634,4.098533969787358,0.43682577102007725,0.6622377077411387,0.5945789349190952,2336.6812585364364,0.5234513595667646
DGCCA_27,1.867496269412828,-1.6783113937677387,5.413303932593395,1.0322684637747255,0.3019463702330796,1.727635764772365,2335.8086479178473,0.5343652415681962
DGCCA_28,4.064168431093678,0.5027019535502277,7.625634908637128,2.236613429404681,0.025311616436452446,5.3040565467912,2331.9128067577867,0.5541492462989284
DGCCA_29,0.29802893407968634,-3.3020798278412706,3.8981376960006435,0.16225231396491682,0.8711071649461338,0.19907788257757436,2336.845260648644,0.48193296054610907
DGCCA_30,1.13082788995463,-2.492148767576296,4.753804547485556,0.6117571672501395,0.540698432593184,0.8871039206263518,2336.4986369499566,0.5074021433536327
DGCCA_31,-3.6724318189612473,-7.2571923993307,-0.08767123859179415,-2.0078981397695297,0.04465411691008146,4.485062998259028,2332.850316281298,0.541139732962621
DGCCA_32,-1.7981799348159757,-5.354449557370681,1.7580896877387298,-0.9910294449019044,0.32167120262614446,1.6363413093103762,2335.893842634533,0.5169881005488064
DGCCA_33,-2.0468577918529256,-5.700608896344939,1.6068933126390874,-1.097985998163572,0.27221060340399256,1.8772048297338755,2335.6587416467605,0.5041030801630858
DGCCA_34,2.8323964205614987,-0.7227540052781447,6.387546846401142,1.5615077589662305,0.1184039945876268,3.078210340993591,2334.5722039959987,0.5351951945721074
