feature_name,coefficient,coef_lower_95%,coef_upper_95%,z-value,p-value,-log2(p),partial_AIC,C-index
DGCCA_1,-1.5281113258342474,-3.4206370098680305,0.3644143581995358,-1.5825640773440686,0.11352085662542574,3.1389707137960037,2489.464657972928,0.5162641294624705
DGCCA_2,-1.366641988913399,-3.7180610954395554,0.9847771176127573,-1.1391287374489378,0.2546494629562309,1.9734154202248566,2490.3449349686407,0.5256024504621724
DGCCA_3,-1.8535428084064551,-4.195453195363857,0.48836757855094737,-1.5512451580180626,0.12084294395634024,3.0487948585764886,2489.205390322157,0.5495378276544415
DGCCA_4,-1.9530076945685633,-4.3364173380067905,0.4304019488696642,-1.6060288895039014,0.10826756255281747,3.20732702510674,2489.1210985268017,0.5349814317855304
DGCCA_5,-1.9543423398996882,-4.358732483847025,0.45004780404764877,-1.5931027704915692,0.11113713793908932,3.169587102034903,2489.1217651196735,0.528435119676886
DGCCA_6,-0.9172113674686725,-3.2378917691039026,1.4034690341665579,-0.7746440419726085,0.4385500251693073,1.189186675370683,2491.030577549504,0.49841424737740914
DGCCA_7,-0.13677484907349266,-2.5211038555664493,2.2475541574194637,-0.1124315383677899,0.9104812498527124,0.1352987877599801,2491.6220655868933,0.5221869832750535
DGCCA_8,0.49693257468742924,-1.7746647202935346,2.7685298696683933,0.4287599528684435,0.6680979255101704,0.5818685157004886,2491.4507079614455,0.5015450922989347
DGCCA_9,-1.3645569600240464,-3.527917893849386,0.7988039738012933,-1.2362627311437433,0.21636091953913647,2.2084881607814975,2490.13123664304,0.5060177279011141
DGCCA_10,0.7860627896915965,-1.7030136393803152,3.275139218763508,0.6189664324438071,0.5359384726129794,0.8998607105311818,2491.255360211285,0.5235423273969261
DGCCA_11,-1.3189973367088652,-3.6614442887864986,1.0234496153687682,-1.1036268178285509,0.2697550529839511,1.890278110719534,2490.4189795801904,0.5286519747363856
DGCCA_12,1.020234307882273,-1.2430959454392914,3.2835645612038373,0.8834868425881931,0.37697328834690036,1.4074657945625257,2490.8523555219726,0.5287197419424792
DGCCA_13,-0.04729661095376688,-2.2729732252692028,2.178380003361669,-0.04165010022747526,0.9667776336608173,0.048743998055976547,2491.6329561655148,0.5098669052072321
DGCCA_14,0.9054369596519761,-1.4515780835303986,3.2624520028343507,0.75291154221624,0.45150307171526927,1.1471922920465414,2491.0627346436277,0.5096907104713887
DGCCA_15,1.002037004060266,-1.2349513575323,3.239025365652832,0.8779466504404829,0.3799726711959206,1.3960324356678369,2490.868017466293,0.49974248461684423
DGCCA_16,-0.8103251458619027,-3.192499117902936,1.5718488261791306,-0.6667053373502052,0.5049603688668651,0.9857579305533384,2491.1912092827138,0.503456127510775
DGCCA_17,1.8387701071981077,-0.46731786278299814,4.144858077179213,1.5627865167635704,0.11810281662735102,3.081884722990095,2489.2051346616254,0.5326502398959095
DGCCA_18,-0.7859547222841271,-3.1256347936554465,1.5537253490871925,-0.6583989700152441,0.5102817970660538,0.9706339165216172,2491.197460779607,0.524978992166111
DGCCA_19,1.3237407312120666,-0.9077908947545279,3.5552723571786613,1.1626472723282864,0.24497264276071085,2.029307449158167,2490.304938487871,0.5368518066737145
